                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.72628,                  1.716,                0.87103,                0.89469,                0.66356,                 0.7371,                0.63401,                0.54978,                0.49056,                0.80889,             5.9291e-05,             5.9291e-05,             5.9291e-05
                      2,                0.57736,                0.48828,                0.81773,                0.92172,                 0.8445,                0.89164,                0.78427,                0.52259,                0.36812,                0.80351,             7.9702e-05,             7.9702e-05,             7.9702e-05
                      3,                0.56096,                0.40197,                 0.8143,                0.93762,                 0.9174,                0.96373,                0.84737,                0.50041,                0.30344,                0.80148,             6.0732e-05,             6.0732e-05,             6.0732e-05
