                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 227.04,                      0,                      0,                      0,                      0,                      0,                      0,                 214.65,                      0,               1.79e-06,               1.79e-06,               1.79e-06
                      2,                      0,                 220.07,                      0,                      0,                      0,                      0,                      0,                      0,                 205.56,                      0,             3.5979e-06,             3.5979e-06,             3.5979e-06
                      3,                      0,                 206.14,                      0,                      0,                      0,                      0,                      0,                      0,                 202.02,                      0,              3.043e-06,              3.043e-06,              3.043e-06
